heading,count
ANESTHESIA,1284
PROCEDURE,1258
PREOPERATIVE DIAGNOSIS,1134
POSTOPERATIVE DIAGNOSIS,1051
PHYSICAL EXAMINATION,872
ALLERGIES,864
PAST MEDICAL HISTORY,814
SOCIAL HISTORY,757
REVIEW OF SYSTEMS,751
COMPLICATIONS,745
HEENT,670
FINDINGS,649
FAMILY HISTORY,628
ESTIMATED BLOOD LOSS,605
PROCEDURE PERFORMED,597
ABDOMEN,519
POSTOPERATIVE DIAGNOSES,495
PREOPERATIVE DIAGNOSES,452
NECK,442
EXTREMITIES,430
HISTORY,415
DESCRIPTION OF PROCEDURE,396
INDICATIONS,373
PAST SURGICAL HISTORY,362
EXAM,361
PROCEDURE IN DETAIL,341
LUNGS,327
HEART,303
VITAL SIGNS,289
GENERAL,288
CARDIOVASCULAR,284
NEUROLOGIC,266
LABORATORY DATA,258
SUBJECTIVE,245
SKIN,240
CHEST,233
DISPOSITION,180
HOSPITAL COURSE,175
SPECIMENS,168
ASSESSMENT AND PLAN,167
TECHNIQUE,165
OBJECTIVE,162
PROCEDURES,161
MUSCULOSKELETAL,160
RECOMMENDATIONS,157
OPERATIVE PROCEDURE,156
CC,154
INDICATIONS FOR PROCEDURE,152
PMH,150
HX,148
DRAINS,144
OPERATION PERFORMED,143
INDICATION,141
COURSE,140
REASON FOR CONSULTATION,136
RESPIRATORY,135
PHYSICAL EXAM,132
MS,129
PROCEDURES PERFORMED,127
MEDS,127
CN,123
REASON FOR EXAM,121
GU,116
OPERATION,113
FHX,105
SHX,105
FLUIDS,104
TITLE OF OPERATION,102
SPECIMEN,101
BRIEF HISTORY,97
GENITOURINARY,94
REASON FOR VISIT,91
GASTROINTESTINAL,90
DISCHARGE DIAGNOSES,85
DESCRIPTION OF OPERATION,82
PSYCHIATRIC,77
DIAGNOSES,76
DIAGNOSIS,73
NEUROLOGICAL,72
DISCHARGE MEDICATIONS,71
CONDITION,70
TOURNIQUET TIME,68
BLOOD LOSS,67
EYES,67
SUMMARY,65
GI,63
RECTAL,62
MOTOR,58
BACK,57
GROSS FINDINGS,57
ENDOCRINE,56
IMPRESSION AND PLAN,56
DISCHARGE INSTRUCTIONS,55
IMMUNIZATIONS,55
PREOP DIAGNOSIS,55
DISCUSSION,55
URINE OUTPUT,54
CARDIAC,53
PROCEDURE DETAILS,53
INDICATION FOR SURGERY,53
OPERATIVE FINDINGS,52
INTERPRETATION,52
PROCEDURE DETAIL,51
DISCHARGE DIAGNOSIS,48
INDICATIONS FOR OPERATION,47
INTRAOPERATIVE FINDINGS,47
POSTOP DIAGNOSIS,47
ENT,46
PROCEDURE NOTE,45
CLINICAL HISTORY,45
CNS,45
GENITALIA,44
ASSESSMENT/PLAN,42
CLINICAL,41
PAST PSYCHIATRIC HISTORY,41
CONCLUSION,40
DIAGNOSTIC STUDIES,40
CONSTITUTIONAL,40
SURGICAL HISTORY,39
IMPRESSION/PLAN,38
INDICATIONS FOR SURGERY,38
OPERATIVE PROCEDURE IN DETAIL,38
AXIS II,38
AXIS III,38
QUESTION,38
LABORATORY STUDIES,37
DIAGNOSTIC DATA,37
DIET,36
OPERATIONS,36
OPERATIONS PERFORMED,35
PERSONAL HISTORY,35
DESCRIPTION OF THE PROCEDURE,35
SENSORY,35
REASON FOR CONSULT,35
HISTORY AND PHYSICAL,34
CV,34
EMERGENCY DEPARTMENT COURSE,33
FINAL DIAGNOSES,33
FAMILY MEDICAL HISTORY,33
EARS,33
BREASTS,33
ADMITTING DIAGNOSIS,32
AXIS IV,32
AXIS V,32
ANSWER,32
NAME OF OPERATION,31
LABORATORY,31
ROS,30
RECOMMENDATION,29
ADMISSION DIAGNOSES,29
DISCHARGE CONDITION,29
INDICATION FOR PROCEDURE,28
FLUIDS RECEIVED,28
PATHOLOGY,28
TREATMENT,28
GENERAL APPEARANCE,28
NEURO,28
LABS,28
REASON FOR REFERRAL,28
DETAILS OF THE PROCEDURE,27
DERMATOLOGIC,27
MEDICAL HISTORY,26
RE,25
ADMISSION DIAGNOSIS,25
PULMONARY,25
DETAILS OF PROCEDURE,25
MENTAL STATUS EXAMINATION,25
HEAD,25
FOLLOWUP,25
ACTIVITY,24
HEMOSTASIS,24
FINAL DIAGNOSIS,24
NEEDLE EMG,24
CORONARY RISK FACTORS,24
ADMITTING DIAGNOSES,23
INFORMED CONSENT,23
OPERATIVE NOTE,22
PREPROCEDURE DIAGNOSIS,22
NOSE,22
IDENTIFYING DATA,22
REASON FOR ADMISSION,21
EBL,21
INDICATIONS FOR THE PROCEDURE,21
